Date,Account ID,Cost (USD)
2025-01-21,154080667894,707.6370196472
2025-01-21,211125702613,416.0868331051
2025-01-21,226032384342,11.5855211692
2025-01-21,230864768389,1551.639434043
2025-01-21,430832610640,31.3034325959
2025-01-21,611713488645,467.5173314272
2025-01-21,630754316413,7.2938205296
2025-01-21,635213132527,28.58543642
2025-01-21,668042396284,3113.2745936235
2025-01-21,678990834671,1.5138823117
2025-01-21,692457086123,0.0000939434
2025-01-21,840214516040,0.0001700455
2025-01-21,888346146368,0.0009927602
2025-01-21,915403479018,1000.8486316034
2025-01-21,929999988963,1107.049938738
2025-01-21,942272457509,715.1005346898
2025-01-21,985455604191,0.1208258334
2025-01-21,989586476485,931.8035439781
2025-01-22,154080667894,737.7024316728
2025-01-22,211125702613,375.924326628
2025-01-22,226032384342,11.644104186
2025-01-22,230864768389,1564.7100652771
2025-01-22,430832610640,31.3035539498
2025-01-22,611713488645,447.0857509642
2025-01-22,630754316413,7.2931544864
2025-01-22,635213132527,28.6098624902
2025-01-22,668042396284,3098.4027261618
2025-01-22,678990834671,1.5138607552
2025-01-22,692457086123,0.0000978072
2025-01-22,840214516040,0.0001693394
2025-01-22,888346146368,0.0131342894
2025-01-22,915403479018,1001.0013383454
2025-01-22,929999988963,1190.1091467109
2025-01-22,942272457509,729.3674269731
2025-01-22,985455604191,0.1250636018
2025-01-22,989586476485,901.3551947176
2025-01-23,154080667894,776.484272371
2025-01-23,211125702613,376.2210964385
2025-01-23,226032384342,11.5980610761
2025-01-23,230864768389,1547.1103993122
2025-01-23,430832610640,31.3035565478
2025-01-23,611713488645,433.0792571319
2025-01-23,630754316413,7.2928557704
2025-01-23,635213132527,28.5937400111
2025-01-23,668042396284,3223.4835564482
2025-01-23,678990834671,1.5137154779
2025-01-23,692457086123,0.0000849422
2025-01-23,840214516040,0.0001783541
2025-01-23,888346146368,0.0294134603
2025-01-23,915403479018,1000.8355235296
2025-01-23,929999988963,1225.4827897209
2025-01-23,942272457509,747.2599661423
2025-01-23,985455604191,0.1220704784
2025-01-23,989586476485,917.6708820537
2025-01-24,154080667894,759.0597825239
2025-01-24,211125702613,376.2580128307
2025-01-24,226032384342,11.6672733664
2025-01-24,230864768389,1509.8342031843
2025-01-24,430832610640,31.3108094275
2025-01-24,611713488645,434.6497893823
2025-01-24,630754316413,7.2929055542
2025-01-24,635213132527,28.5870418786
2025-01-24,668042396284,3291.9963426615
2025-01-24,678990834671,1.5137647443
2025-01-24,692457086123,0.0000942846
2025-01-24,840214516040,0.000153039
2025-01-24,888346146368,0.027607876
2025-01-24,915403479018,1000.942259103
2025-01-24,929999988963,1075.6509757048
2025-01-24,942272457509,732.0845938599
2025-01-24,985455604191,0.1167295746
2025-01-24,989586476485,933.9420788687
2025-01-25,154080667894,711.520851663
2025-01-25,211125702613,376.5060428006
2025-01-25,226032384342,11.5934408651
2025-01-25,230864768389,1478.6388152295
2025-01-25,430832610640,31.3036313367
2025-01-25,611713488645,435.2849884876
2025-01-25,630754316413,7.2929472011
2025-01-25,635213132527,28.6290287143
2025-01-25,668042396284,3038.2526898112
2025-01-25,678990834671,1.5137940607
2025-01-25,692457086123,0.0000942855
2025-01-25,840214516040,0.0001527137
2025-01-25,888346146368,0.0275777202
2025-01-25,915403479018,1000.7781777353
2025-01-25,929999988963,1043.5379284126
2025-01-25,942272457509,725.2733457876
2025-01-25,985455604191,0.1109531082
2025-01-25,989586476485,919.7214050208
2025-01-26,154080667894,707.4447158998
2025-01-26,211125702613,376.2444318967
2025-01-26,226032384342,11.566373612
2025-01-26,230864768389,1466.2216979977
2025-01-26,430832610640,31.3036789586
2025-01-26,611713488645,436.675490057
2025-01-26,630754316413,7.2950754264
2025-01-26,635213132527,28.5819297539
2025-01-26,668042396284,2862.5148778151
2025-01-26,678990834671,1.5138628013
2025-01-26,692457086123,0.0000897841
2025-01-26,840214516040,0.0001661825
2025-01-26,888346146368,0.027601873
2025-01-26,915403479018,1000.7538664533
2025-01-26,929999988963,985.1635630305
2025-01-26,942272457509,721.4667967563
2025-01-26,985455604191,0.1095523722
2025-01-26,989586476485,917.4828254928
2025-01-27,154080667894,703.1161883136
2025-01-27,211125702613,330.245454543
2025-01-27,226032384342,10.0747905006
2025-01-27,230864768389,1352.104925321
2025-01-27,430832610640,27.9945480171
2025-01-27,611713488645,383.8465707165
2025-01-27,630754316413,6.044671702
2025-01-27,635213132527,24.6736921085
2025-01-27,668042396284,2343.4546525154
2025-01-27,678990834671,1.385339451
2025-01-27,692457086123,0.0000901159
2025-01-27,840214516040,0.0001776395
2025-01-27,888346146368,0.037140727
2025-01-27,915403479018,999.5678794386
2025-01-27,929999988963,921.822559503
2025-01-27,942272457509,634.0703662125
2025-01-27,985455604191,0.1092997466
2025-01-27,989586476485,883.055514003
